,ID,Acronym,Name,Parent Region,Layer,Ancestors,Graph Order
276,608,ORBvl6a,"Orbital area, ventrolateral part, layer 6a",Cerebral cortex,6a,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Orbital area', 'Orbital area, ventrolateral part']",276
277,680,ORBvl6b,"Orbital area, ventrolateral part, layer 6b",Cerebral cortex,6b,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Orbital area', 'Orbital area, ventrolateral part']",277
278,95,AI,Agranular insular area,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex']",278
279,104,AId,"Agranular insular area, dorsal part",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Agranular insular area']",279
280,996,AId1,"Agranular insular area, dorsal part, layer 1",Cerebral cortex,1,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Agranular insular area', 'Agranular insular area, dorsal part']",280
281,328,AId2/3,"Agranular insular area, dorsal part, layer 2/3",Cerebral cortex,2/3,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Agranular insular area', 'Agranular insular area, dorsal part']",281
282,1101,AId5,"Agranular insular area, dorsal part, layer 5",Cerebral cortex,5,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Agranular insular area', 'Agranular insular area, dorsal part']",282
283,783,AId6a,"Agranular insular area, dorsal part, layer 6a",Cerebral cortex,6a,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Agranular insular area', 'Agranular insular area, dorsal part']",283
284,831,AId6b,"Agranular insular area, dorsal part, layer 6b",Cerebral cortex,6b,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Agranular insular area', 'Agranular insular area, dorsal part']",284
285,111,AIp,"Agranular insular area, posterior part",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Agranular insular area']",285
286,120,AIp1,"Agranular insular area, posterior part, layer 1",Cerebral cortex,1,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Agranular insular area', 'Agranular insular area, posterior part']",286
287,163,AIp2/3,"Agranular insular area, posterior part, layer 2/3",Cerebral cortex,2/3,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Agranular insular area', 'Agranular insular area, posterior part']",287
288,344,AIp5,"Agranular insular area, posterior part, layer 5",Cerebral cortex,5,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Agranular insular area', 'Agranular insular area, posterior part']",288
289,314,AIp6a,"Agranular insular area, posterior part, layer 6a",Cerebral cortex,6a,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Agranular insular area', 'Agranular insular area, posterior part']",289
290,355,AIp6b,"Agranular insular area, posterior part, layer 6b",Cerebral cortex,6b,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Agranular insular area', 'Agranular insular area, posterior part']",290
291,119,AIv,"Agranular insular area, ventral part",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Agranular insular area']",291
292,704,AIv1,"Agranular insular area, ventral part, layer 1",Cerebral cortex,1,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Agranular insular area', 'Agranular insular area, ventral part']",292
293,694,AIv2/3,"Agranular insular area, ventral part, layer 2/3",Cerebral cortex,2/3,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Agranular insular area', 'Agranular insular area, ventral part']",293
294,800,AIv5,"Agranular insular area, ventral part, layer 5",Cerebral cortex,5,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Agranular insular area', 'Agranular insular area, ventral part']",294
295,675,AIv6a,"Agranular insular area, ventral part, layer 6a",Cerebral cortex,6a,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Agranular insular area', 'Agranular insular area, ventral part']",295
296,699,AIv6b,"Agranular insular area, ventral part, layer 6b",Cerebral cortex,6b,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Agranular insular area', 'Agranular insular area, ventral part']",296
297,254,RSP,Retrosplenial area,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex']",297
298,894,RSPagl,"Retrosplenial area, lateral agranular part",Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area']",298
299,671,RSPagl1,"Retrosplenial area, lateral agranular part, layer 1",Cerebral cortex,1,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part']",299
300,965,RSPagl2/3,"Retrosplenial area, lateral agranular part, layer 2/3",Cerebral cortex,2/3,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part']",300
301,774,RSPagl5,"Retrosplenial area, lateral agranular part, layer 5",Cerebral cortex,5,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part']",301
302,906,RSPagl6a,"Retrosplenial area, lateral agranular part, layer 6a",Cerebral cortex,6a,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part']",302
303,279,RSPagl6b,"Retrosplenial area, lateral agranular part, layer 6b",Cerebral cortex,6b,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part']",303
304,480149258,VISmma,Mediomedial anterior visual area,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part']",304
305,480149262,VISmma1,"Mediomedial anterior visual area, layer 1",Cerebral cortex,1,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part', 'Mediomedial anterior visual area']",305
306,480149266,VISmma2/3,"Mediomedial anterior visual area, layer 2/3",Cerebral cortex,2/3,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part', 'Mediomedial anterior visual area']",306
307,480149270,VISmma4,"Mediomedial anterior visual area, layer 4",Cerebral cortex,4,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part', 'Mediomedial anterior visual area']",307
308,480149274,VISmma5,"Mediomedial anterior visual area,layer 5",Cerebral cortex,5,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part', 'Mediomedial anterior visual area']",308
309,480149278,VISmma6a,"Mediomedial anterior visual area, layer 6a",Cerebral cortex,6a,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part', 'Mediomedial anterior visual area']",309
310,480149282,VISmma6b,"Mediomedial anterior visual area, layer 6b",Cerebral cortex,6b,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part', 'Mediomedial anterior visual area']",310
311,480149286,VISmmp,Mediomedial posterior visual area,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part']",311
